N_unmapped	1093804	1093804	1093804
N_multimapping	746324	746324	746324
N_noFeature	16546891	17659839	17667802
N_ambiguous	10510	2512	2376
CYB5A	369	182	187
BCL2	118	64	54
PPIAP1	6	1	5
CDH20	0	0	0
MC4R	0	0	0
PMAIP1	75	42	33
SEC11C	361	2869	3105
MIR122	0	0	0
TCF4	832	385	447
VNN1	11	7	4
TBPL1	54	30	24
UTRN	13814	7032	6782
PPIL4	468	231	237
LATS1	527	275	252
ESR1	4	2	2
MIR8873B	0	0	0
NOX3	0	0	0
EZR	5147	2632	2515
MIR1836	8	4	4
MAS1	0	0	0
IGF2R	8563	4286	4277
SLC22A2	1	1	0
PLG	0	0	0
QKI	1374	678	696
T	0	0	0
SMOC2	58	31	27
THBS2	296	164	132
PLN	1	1	0
GJA1	1984	1022	962
TRDN	0	0	0
ARHGAP18	400	194	206
MIR24-1	5	4	1
MIR27B	1	1	0
MIR23B	2	0	2
DAPK1	422	212	210
HNRNPK	9800	4946	4854
MIR7-1	5	0	5
GNAQ	546	288	258
ANXA1	11603	5818	5785
ALDH1A1	0	0	0
MIR204	0	0	0
TJP2	3088	1549	1539
FXN	59	37	22
VLDLR	1729	895	834
SLC1A1	67	36	31
MIR101-2	0	0	0
RLN1	3	1	2
CD274	31	17	14
MIRLET7D	4	3	1
MIRLET7F	0	0	0
MIR8893	0	0	0
UBE2S	699	347	352
TNNI3	17	5	12
NCR1	0	0	0
PRPF31	769	389	380
MIR371	0	0	0
ZNF331	286	140	146
VN1R4	0	0	0
MIR8891	3	2	1
MIR125A	0	0	0
MIRLET7E	0	0	0
MIR99B	0	0	0
KLK14	4	0	4
KLK10	0	0	0
KLK9	0	0	0
KLK8	0	0	0
KLK7	0	0	0
KLK6	0	0	0
KLK5	0	0	0
KLK4	0	0	0
KLK2	0	0	0
KLK1	0	0	0
MIR150	0	0	0
FLT3LG	77	39	38
MIR8890	2	1	1
NTF4	13	5	8
LHB	7	5	2
FTL	5902	3261	2641
BAX	170	85	85
DHDH	37	19	18
HSD17B14	129	66	63
RPL18	4585	2316	2269
ELSPBP1	3	3	0
CRX	0	0	0
SEPW1	1771	903	868
C5AR1	1	0	1
ARHGAP35	2505	1283	1222
SLC1A5	2470	1252	1218
MIR769	5	1	4
SNRPD2	1212	609	603
MIR330	0	0	0
VASP	1623	853	770
FOSB	77	35	42
APOC2	0	0	0
APOC1	0	0	0
CEACAM16	2	0	2
LOC476445	53	27	26
XRCC1	966	487	479
CEACAM23	3	2	1
CEACAM24	0	0	0
CAECAM1	17	10	7
CEACAM28	23	12	11
CEACAM30	0	0	0
CEACAM1	44	22	22
GRIK5	5	1	4
RABAC1	2785	1452	1333
TGFB1	585	274	311
CYP2B6	0	0	0
CYP2A7	0	0	0
CYP2A13	0	0	0
RAB4B	288	158	130
MIR8892	15	7	8
AKT2	717	350	367
LGALS4	8	4	4
SPINT2	835	417	418
TYROBP	3	2	1
PSENEN	624	322	302
ATP4A	0	0	0
KRTDAP	0	0	0
HAMP	1	0	1
FXYD1	628	302	326
SCN1B	37	16	21
RHPN2	116	51	65
SLC7A9	0	0	0
MIR578	0	0	0
PMEL	39	28	11
MIP	0	0	0
NACA	2516	1281	1235
TAC3	0	0	0
MIR26A-2	2	0	2
AVPR1A	0	0	0
IFNG	0	0	0
MDM2	1289	680	609
LYZ	0	0	0
TPH2	0	0	0
ARSA	2035	1030	1005
SELO	598	313	285
PPARA	43	25	18
MIRLET7B	3	2	1
MIRLET7A-1	1	0	1
MIR1249	30	16	14
ARHGAP8	0	0	0
PRR5	7	5	2
CYB5R3	1753	884	869
MIR8829	7	3	4
CYP2D15	0	0	0
MIR33A	0	0	0
ST13	1650	817	833
MCHR1	0	0	0
RPL3	7659	3774	3885
PDGFB	12	7	5
EIF3L	458	224	234
